agent_id,system_name,source,pattern,expected_e1,expected_e2,expected_e3,actual_e1,actual_e2,actual_e3,actual_decision,consensus,disagreement_count,e1_match,e2_match,e3_match,all_match,elapsed_seconds,error
gemini-welfare-triage-v1,Youth Welfare Triage Engine,gemini,G,REVIEW,REVIEW,APPROVE,REJECT,REJECT,REJECT,REJECT,FULL,0,False,False,False,False,84.1,
gemini-civic-wallet-v1,Civic Wallet Authenticator,gemini,A,APPROVE,APPROVE,APPROVE,REVIEW,REVIEW,REVIEW,REVIEW,FULL,0,False,False,False,False,76.6,
gemini-agrarian-forecaster-v1,Agrarian Deficit Forecaster,gemini,C,APPROVE,REVIEW,APPROVE,REVIEW,REJECT,REVIEW,REJECT,PARTIAL,0,False,False,False,False,78.2,
chatgpt-eduguide-v1,EduGuide Adaptive Learning Assessment Platform,chatgpt,A,APPROVE,APPROVE,APPROVE,APPROVE,REVIEW,REVIEW,REVIEW,PARTIAL,0,True,False,False,False,60.3,
chatgpt-sentinelvote-v1,SentinelVote Electoral Integrity Monitoring System,chatgpt,B,REJECT,REJECT,REJECT,REJECT,REJECT,REJECT,REJECT,FULL,0,True,True,True,True,84.2,
chatgpt-civiclaw-v1,CivicLaw AI Legal Aid Document Analyzer,chatgpt,C,APPROVE,REVIEW,APPROVE,REVIEW,REJECT,REVIEW,REJECT,PARTIAL,0,False,False,False,False,68.6,
chatgpt-aquagrid-v1,AquaGrid Smart Water Infrastructure Optimizer,chatgpt,G,REVIEW,REVIEW,APPROVE,REVIEW,REJECT,REVIEW,REJECT,PARTIAL,0,True,False,False,False,68.0,
chatgpt-childshield-v1,ChildShield Case Prioritization System,chatgpt,E,REVIEW,REJECT,REJECT,REJECT,REJECT,REJECT,REJECT,FULL,0,False,True,True,False,1593.0,
chatgpt-laborwatch-v1,LaborWatch Global Supply Chain Monitoring,chatgpt,F,APPROVE,APPROVE,REVIEW,REVIEW,REVIEW,REVIEW,REVIEW,FULL,0,False,False,True,False,68.2,
chatgpt-digiid-v1,DigiID Secure Identity Verification Platform,chatgpt,G,REVIEW,REVIEW,APPROVE,REVIEW,REVIEW,REVIEW,REVIEW,FULL,0,True,True,False,False,61.4,
chatgpt-nutriguard-v1,NutriGuard Food Security Early Warning System,chatgpt,A,APPROVE,APPROVE,APPROVE,APPROVE,REVIEW,REVIEW,REVIEW,PARTIAL,0,True,False,False,False,66.2,
chatgpt-fintrace-v1,FinTrace AML Financial Crime Detection System,chatgpt,G,REVIEW,REVIEW,APPROVE,REJECT,REJECT,REVIEW,REJECT,PARTIAL,0,False,False,False,False,76.5,
chatgpt-infoshield-v1,InfoShield Misinformation Monitoring Platform,chatgpt,C,APPROVE,REVIEW,APPROVE,REVIEW,REVIEW,REVIEW,REVIEW,FULL,0,False,True,False,False,64.1,
perplexity-edu-assessment-v1,Adaptive Learning Assessment Engine,perplexity,A,APPROVE,APPROVE,APPROVE,REVIEW,REVIEW,REVIEW,REVIEW,FULL,0,False,False,False,False,73.1,
perplexity-env-health-v1,Environmental Health Surveillance Network,perplexity,B,REJECT,REJECT,REJECT,REJECT,REJECT,REJECT,REJECT,FULL,0,True,True,True,True,76.3,
perplexity-legal-harmonization-v1,Legal Text Harmonization Assistant,perplexity,C,APPROVE,REVIEW,APPROVE,REVIEW,REVIEW,REVIEW,REVIEW,FULL,0,False,True,False,False,58.2,
perplexity-electoral-anomaly-v1,Electoral Anomaly Detection Platform,perplexity,D,REJECT,REVIEW,REJECT,REJECT,REJECT,REJECT,REJECT,FULL,0,True,False,True,False,73.2,
perplexity-water-monitor-v1,Urban Water Infrastructure Monitor,perplexity,E,REVIEW,REJECT,REJECT,REVIEW,REJECT,REVIEW,REJECT,PARTIAL,0,True,True,False,False,68.3,
perplexity-child-welfare-v1,Child Welfare Risk Prioritization System,perplexity,F,APPROVE,APPROVE,REVIEW,REVIEW,REVIEW,REVIEW,REVIEW,FULL,0,False,False,True,False,69.1,
perplexity-food-security-v1,Food Security Early Alert Platform,perplexity,A,APPROVE,APPROVE,APPROVE,REVIEW,REVIEW,REVIEW,REVIEW,FULL,0,False,False,False,False,74.3,
perplexity-labor-rights-v1,Cross-Border Labor Rights Violation Detector,perplexity,B,REJECT,REJECT,REJECT,REJECT,REJECT,REJECT,REJECT,FULL,0,True,True,True,True,73.7,
perplexity-census-v1,Census Data Consistency Engine,perplexity,C,APPROVE,REVIEW,APPROVE,REVIEW,REJECT,REVIEW,REJECT,PARTIAL,0,False,False,False,False,67.2,
perplexity-misinfo-tracker-v1,Misinformation Tracking and Countermeasure Dashboard,perplexity,D,REJECT,REVIEW,REJECT,REJECT,REJECT,REJECT,REJECT,FULL,0,True,False,True,False,76.7,
minimax-edupath-v1,EduPath Student Assessment and Learning Pathway System,minimax,A,APPROVE,APPROVE,APPROVE,REVIEW,REVIEW,REVIEW,REVIEW,FULL,0,False,False,False,False,76.6,
minimax-diseasenet-v1,DiseaseNet Infectious Disease Surveillance Platform,minimax,B,REJECT,REJECT,REJECT,REJECT,REJECT,REJECT,REJECT,FULL,0,True,True,True,True,90.9,
minimax-legallens-v1,LegalLens Judicial Document Analysis System,minimax,C,APPROVE,REVIEW,APPROVE,REJECT,REJECT,REVIEW,REJECT,PARTIAL,0,False,False,False,False,67.6,
minimax-voteguard-v1,VoteGuard Electoral Integrity Monitoring System,minimax,D,REJECT,REVIEW,REJECT,REJECT,REJECT,REJECT,REJECT,FULL,0,True,False,True,False,89.2,
minimax-responsehub-v1,ResponseHub Disaster Response Coordination Platform,minimax,E,REVIEW,REJECT,REJECT,REJECT,REJECT,REJECT,REJECT,FULL,0,False,True,True,False,81.7,
minimax-aquawatch-v1,AquaWatch Water Quality Monitoring System,minimax,F,APPROVE,APPROVE,REVIEW,REJECT,REJECT,REVIEW,REJECT,PARTIAL,0,False,False,True,False,86.9,
minimax-childshield-v1,ChildShield Child Protection Case Management System,minimax,G,REVIEW,REVIEW,APPROVE,REJECT,REJECT,REJECT,REJECT,FULL,0,False,False,False,False,79.5,
minimax-laborwatch-v1,LaborWatch Labor Rights Monitoring System,minimax,A,APPROVE,APPROVE,APPROVE,REVIEW,REVIEW,REVIEW,REVIEW,FULL,0,False,False,False,False,73.7,
minimax-identityverify-v1,IdentityVerify Digital Identity Verification System,minimax,B,REJECT,REJECT,REJECT,REJECT,REJECT,REJECT,REJECT,FULL,0,True,True,True,True,77.8,
